,Titulares,T,TaP,C,CP,CF,FR,FC,PI,BR,Reg,PA,P%,equipo,jornada,Minutos,cambioN,localizacion
0,Yassine Bono,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.867,girona,1,90.0,0.0,0
1,Bernardo Espinosa,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.922,girona,1,90.0,0.0,0
2,Juanpe Ramírez,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,1.0,0.9,girona,1,90.0,0.0,0
3,Marc Muniesa,1.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,0.873,girona,1,90.0,0.0,0
4,Pedro Porro,0.0,0.0,6.0,1.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,0.8640000000000001,girona,1,90.0,0.0,0
5,Álex Granell,1.0,0.0,11.0,4.0,1.0,4.0,2.0,1.0,0.0,4.0,2.0,0.81,girona,1,90.0,0.0,0
6,Cristian Portu,2.0,0.0,3.0,2.0,1.0,2.0,3.0,0.0,0.0,2.0,1.0,0.611,girona,1,90.0,0.0,0
7,Borja García,3.0,0.0,3.0,0.0,0.0,7.0,0.0,2.0,0.0,3.0,2.0,0.764,girona,1,90.0,0.0,0
8,David Timor,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.882,girona,1,73.0,73.0,0
9,Aleix García,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.878,girona,1,61.0,61.0,0
10,Christian Stuani,3.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,1.0,0.706,girona,1,80.0,80.0,0
11,Gorka Iraizoz,,,,,,,,,,,,,girona,1,0.0,0.0,0
12,Pedro Alcalá,,,,,,,,,,,,,girona,1,0.0,0.0,0
13,Èric Montes,,,,,,,,,,,,,girona,1,0.0,0.0,0
14,Pere Pons,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.8,girona,1,17.0,73.0,0
15,Patrick Roberts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,girona,1,10.0,80.0,0
16,Kevin Soni,,,,,,,,,,,,,girona,1,0.0,0.0,0
17,Choco Lozano,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.5710000000000001,girona,1,29.0,61.0,0
18,Jordi Masip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.263,valladolid,1,90.0,0.0,1
19,Kiko Olivas,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,0.0,0.0,0.885,valladolid,1,90.0,0.0,1
20,Javi Moyano,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.65,valladolid,1,90.0,0.0,1
21,Fernando Calero,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.778,valladolid,1,90.0,0.0,1
22,Nacho Martínez,0.0,0.0,4.0,1.0,0.0,0.0,1.0,4.0,3.0,2.0,1.0,0.6,valladolid,1,90.0,0.0,1
23,Keko Gontán,1.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.846,valladolid,1,90.0,0.0,1
24,Toni Villa,0.0,0.0,2.0,0.0,2.0,3.0,2.0,1.0,6.0,5.0,0.0,0.647,valladolid,1,87.0,87.0,1
25,Anuar Mohamed,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.474,valladolid,1,70.0,70.0,1
26,Rubén Alcaraz,1.0,1.0,5.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.7709999999999999,valladolid,1,90.0,0.0,1
27,Borja Fernández,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.655,valladolid,1,90.0,0.0,1
28,Christopher Ramos,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.3,valladolid,1,63.0,63.0,1
29,Samu Pérez,,,,,,,,,,,,,valladolid,1,0.0,0.0,1
30,Antoñito Regal,,,,,,,,,,,,,valladolid,1,0.0,0.0,1
31,Mohammed Salisu,,,,,,,,,,,,,valladolid,1,0.0,0.0,1
32,Míchel Herrero,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,valladolid,1,3.0,87.0,1
33,Daniele Verde,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,valladolid,1,20.0,70.0,1
34,Miguel de la Fuente,,,,,,,,,,,,,valladolid,1,0.0,0.0,1
35,Óscar Plano,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,valladolid,1,27.0,63.0,1
36,Pau López,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,betis,1,90.0,0.0,0
37,Zou Feddal,2.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,2.0,0.908,betis,1,90.0,0.0,0
38,Marc Bartra,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.955,betis,1,90.0,0.0,0
39,Aissa Mandi,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.91,betis,1,90.0,0.0,0
40,Junior Firpo,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,4.0,5.0,2.0,0.887,betis,1,90.0,0.0,0
41,Ryad Boudebouz,5.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.88,betis,1,62.0,62.0,0
42,Andrés Guardado,4.0,0.0,4.0,1.0,2.0,2.0,3.0,2.0,0.0,2.0,0.0,0.922,betis,1,90.0,0.0,0
43,Francis Guerrero,0.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,0.915,betis,1,73.0,73.0,0
44,William Carvalho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.861,betis,1,65.0,65.0,0
45,Sergio Canales,3.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,0.919,betis,1,90.0,0.0,0
46,Loren Morón,4.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.8240000000000001,betis,1,90.0,0.0,0
47,Joel Robles,,,,,,,,,,,,,betis,1,0.0,0.0,0
48,Antonio Barragán,0.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.846,betis,1,17.0,73.0,0
49,Sidnei,,,,,,,,,,,,,betis,1,0.0,0.0,0
50,Takashi Inui,2.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.923,betis,1,25.0,65.0,0
51,Darko Brasanac,,,,,,,,,,,,,betis,1,0.0,0.0,0
52,Sergio León,,,,,,,,,,,,,betis,1,0.0,0.0,0
53,Antonio Sanabria,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,betis,1,28.0,62.0,0
54,Oier Olazábal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.276,levante,1,90.0,0.0,1
55,Toño García,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.609,levante,1,90.0,0.0,1
56,Chema Rodríguez,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.727,levante,1,90.0,0.0,1
57,Sergio Postigo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5379999999999999,levante,1,90.0,0.0,1
58,Coke Andújar,0.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,0.733,levante,1,90.0,0.0,1
59,Cheick Doukouré,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.556,levante,1,67.0,67.0,1
60,Enis Bardhi,0.0,0.0,3.0,1.0,0.0,0.0,3.0,2.0,3.0,0.0,1.0,0.8,levante,1,90.0,0.0,1
61,José Luis Morales,3.0,3.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,3.0,1.0,0.923,levante,1,90.0,0.0,1
62,Jason ,1.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,1.0,0.6,levante,1,0.0,0.0,1
63,José Campaña,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.889,levante,1,90.0,0.0,1
64,Roger Martí,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.385,levante,1,73.0,73.0,1
65,Aitor Fernández,,,,,,,,,,,,,levante,1,0.0,0.0,1
66,Pedro López,,,,,,,,,,,,,levante,1,0.0,0.0,1
67,Antonio Luna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,levante,1,17.0,73.0,1
68,Róber Pier,,,,,,,,,,,,,levante,1,0.0,0.0,1
69,Sanji Prcic,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.7140000000000001,levante,1,23.0,67.0,1
70,Rubén Rochina,,,,,,,,,,,,,levante,1,0.0,0.0,1
71,Raphael Dwamena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,levante,1,1.0,89.0,1
72,Sergio Álvarez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,celta,1,90.0,0.0,0
73,Hugo Mallo,1.0,1.0,9.0,3.0,1.0,0.0,1.0,4.0,0.0,0.0,2.0,0.679,celta,1,90.0,0.0,0
74,Gustavo Cabral,1.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.88,celta,1,90.0,0.0,0
75,Junior Alonso,1.0,0.0,2.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,0.8290000000000001,celta,1,90.0,0.0,0
76,Néstor Araujo,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.816,celta,1,90.0,0.0,0
77,Pione Sisto,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,2.0,0.0,0.727,celta,1,51.0,51.0,0
78,Stanislav Lobotka,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.816,celta,1,90.0,0.0,0
79,Brais Méndez,2.0,0.0,5.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,1.0,0.7,celta,1,76.0,76.0,0
80,Fran Beltrán,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.885,celta,1,90.0,0.0,0
81,Maxi Gómez,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.667,celta,1,90.0,,0
82,Iago Aspas,2.0,0.0,2.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,4.0,0.879,celta,1,90.0,0.0,0
83,Iván Villar,,,,,,,,,,,,,celta,1,0.0,0.0,0
84,Robert Mazan,,,,,,,,,,,,,celta,1,0.0,0.0,0
85,David Costas,,,,,,,,,,,,,celta,1,0.0,0.0,0
86,Sofiane Boufal,0.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,celta,1,14.0,76.0,0
87,Okay Yokuslu,,,,,,,,,,,,,celta,1,0.0,0.0,0
88,Emre Mor,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.857,celta,1,39.0,51.0,0
89,Dennis Eckert,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,celta,1,0.0,,0
90,Diego López,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.368,espanyol,1,90.0,0.0,1
91,Didac Vilà,0.0,0.0,6.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,0.78,espanyol,1,90.0,0.0,1
92,David López,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.81,espanyol,1,90.0,0.0,1
93,Javi López,0.0,0.0,1.0,1.0,1.0,0.0,3.0,2.0,1.0,0.0,3.0,0.8540000000000001,espanyol,1,90.0,0.0,1
94,Mario Hermoso,2.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.794,espanyol,1,90.0,0.0,1
95,Víctor Sánchez,2.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.9,espanyol,1,90.0,0.0,1
96,Pablo Piatti,1.0,1.0,8.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,0.792,espanyol,1,80.0,80.0,1
97,Marc Roca,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,1.0,0.897,espanyol,1,90.0,0.0,1
98,Sergi Darder,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.789,espanyol,1,90.0,0.0,1
99,Leo Baptistâo,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.765,espanyol,1,70.0,70.0,1
100,Borja Iglesias,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.5710000000000001,espanyol,1,70.0,70.0,1
101,Roberto Jiménez,,,,,,,,,,,,,espanyol,1,0.0,0.0,1
102,Óscar Duarte,,,,,,,,,,,,,espanyol,1,0.0,0.0,1
103,Óscar Melendo,,,,,,,,,,,,,espanyol,1,0.0,0.0,1
104,Álex López,,,,,,,,,,,,,espanyol,1,0.0,0.0,1
105,Hernán Pérez,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.889,espanyol,1,20.0,70.0,1
106,Sergio García,3.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.875,espanyol,1,20.0,70.0,1
107,Javi Puado,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,espanyol,1,10.0,80.0,1
108,Sergio Asenjo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.636,villarreal,1,90.0,0.0,0
109,Mario Gaspar,2.0,1.0,3.0,1.0,0.0,1.0,2.0,2.0,3.0,0.0,1.0,0.778,villarreal,1,90.0,0.0,0
110,Álvaro González,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.725,villarreal,1,90.0,0.0,0
111,Ramiro Funes Mori,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.821,villarreal,1,90.0,0.0,0
112,Pablo Fornals,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.7240000000000001,villarreal,1,76.0,76.0,0
113,Santi Cazorla,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.731,villarreal,1,72.0,72.0,0
114,Santiago Cáseres,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.921,villarreal,1,90.0,0.0,0
115,Alfonso Pedraza,2.0,1.0,6.0,2.0,0.0,0.0,3.0,2.0,2.0,1.0,1.0,0.889,villarreal,1,90.0,0.0,0
116,Manuel Morlanes,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.794,villarreal,1,64.0,64.0,0
117,Gerard Moreno,2.0,1.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,2.0,0.708,villarreal,1,90.0,0.0,0
118,Karl Toko Ekambi,4.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,0.68,villarreal,1,90.0,0.0,0
119,Andrés Fernández,,,,,,,,,,,,,villarreal,1,0.0,0.0,0
120,Víctor Ruiz,,,,,,,,,,,,,villarreal,1,0.0,0.0,0
121,Miguel Layún,,,,,,,,,,,,,villarreal,1,0.0,0.0,0
122,Miguelón,,,,,,,,,,,,,villarreal,1,0.0,0.0,0
123,Manu Trigueros,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.857,villarreal,1,18.0,72.0,0
124,Carlos Bacca,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,villarreal,1,14.0,76.0,0
125,Daniel Raba,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.727,villarreal,1,26.0,64.0,0
126,Gerónimo Rulli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.488,real_sociedad,1,90.0,0.0,1
127,Diego Javier Llorente,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.86,real_sociedad,1,90.0,0.0,1
128,Theo Hernández,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,2.0,0.0,0.789,real_sociedad,1,90.0,0.0,1
129,Héctor Moreno,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.911,real_sociedad,1,90.0,0.0,1
130,Joseba Zaldua,0.0,0.0,5.0,2.0,2.0,3.0,1.0,3.0,0.0,2.0,1.0,0.872,real_sociedad,1,90.0,0.0,1
131,Asier Illarramendi,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.75,real_sociedad,1,90.0,0.0,1
132,Igor Zubeldia,1.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,0.8290000000000001,real_sociedad,1,90.0,0.0,1
133,Rubén Pardo,1.0,0.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.7829999999999999,real_sociedad,1,67.0,67.0,1
134,Mikel Oyarzabal,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.7140000000000001,real_sociedad,1,79.0,79.0,1
135,Mikel Merino,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.778,real_sociedad,1,58.0,58.0,1
136,Willian José,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.8,real_sociedad,1,90.0,0.0,1
137,Andoni Zubiaurre,,,,,,,,,,,,,real_sociedad,1,0.0,0.0,1
138,Aritz Elustondo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,real_sociedad,1,11.0,79.0,1
139,Kevin Rodrigues,,,,,,,,,,,,,real_sociedad,1,0.0,0.0,1
140,David Zurutuza,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.545,real_sociedad,1,32.0,58.0,1
141,Luca Sangalli,,,,,,,,,,,,,real_sociedad,1,0.0,0.0,1
142,Juanmi Jiménez,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,real_sociedad,1,23.0,67.0,1
143,Jon Bautista,,,,,,,,,,,,,real_sociedad,1,0.0,0.0,1
144,Marc-André ter Stegen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.917,barcelona,1,90.0,0.0,0
145,Nélson Semedo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.964,barcelona,1,45.0,45.0,0
146,Gerard Piqué,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.926,barcelona,1,90.0,0.0,0
147,Jordi Alba,3.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,3.0,0.905,barcelona,1,90.0,0.0,0
148,Sergi Roberto,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.927,barcelona,1,90.0,0.0,0
149,Samuel Umtiti,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.969,barcelona,1,90.0,0.0,0
150,Ivan Rakitic,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,0.948,barcelona,1,90.0,0.0,0
151,Sergio Busquets,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.928,barcelona,1,84.0,84.0,0
152,Luis Suárez,4.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.737,barcelona,1,90.0,0.0,0
153,Lionel Messi,8.0,4.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,6.0,5.0,0.8109999999999999,barcelona,1,90.0,0.0,0
154,Ousmane Dembélé,3.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.797,barcelona,1,76.0,76.0,0
155,Jasper Cillessen,,,,,,,,,,,,,barcelona,1,0.0,0.0,0
156,Clément Lenglet,,,,,,,,,,,,,barcelona,1,0.0,0.0,0
157,Philippe Coutinho,4.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.88,barcelona,1,45.0,45.0,0
158,Rafinha Alcántara,,,,,,,,,,,,,barcelona,1,0.0,0.0,0
159,Arthur Melo,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.889,barcelona,1,14.0,76.0,0
160,Arturo Vidal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,barcelona,1,6.0,84.0,0
161,Malcom,,,,,,,,,,,,,barcelona,1,0.0,0.0,0
162,Fernando Pacheco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.417,alaves,1,90.0,0.0,1
163,Rubén Duarte,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.667,alaves,1,90.0,0.0,1
164,Víctor Laguardia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.545,alaves,1,90.0,0.0,1
165,Guillermo Maripán,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.688,alaves,1,90.0,0.0,1
166,Martín Aguirregabiria,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.471,alaves,1,90.0,0.0,1
167,Ibai Gómez,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.647,alaves,1,90.0,0.0,1
168,Daniel Torres,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.867,alaves,1,67.0,67.0,1
169,Manu García,0.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,0.737,alaves,1,90.0,0.0,1
170,Mubarak Wakaso,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.652,alaves,1,90.0,0.0,1
171,Jony Rodríguez,0.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.75,alaves,1,67.0,67.0,1
172,Rubén Sobrino,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.778,alaves,1,70.0,70.0,1
173,Antonio Sivera,,,,,,,,,,,,,alaves,1,0.0,0.0,1
174,Ximo Navarro,,,,,,,,,,,,,alaves,1,0.0,0.0,1
175,Adrián Marín,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.8,alaves,1,23.0,67.0,1
176,Jorge F. Burgui ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.833,alaves,1,90.0,0.0,1
177,Antonio Perera,,,,,,,,,,,,,alaves,1,0.0,0.0,1
178,Borja Bastón,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,alaves,1,23.0,67.0,1
179,Patrick Twumasi,,,,,,,,,,,,,alaves,1,0.0,0.0,1
180,Marko Dmitrovic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,eibar,1,90.0,0.0,0
181,Paulo Oliveira,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.897,eibar,1,90.0,0.0,0
182,José Ángel,0.0,0.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.7559999999999999,eibar,1,90.0,0.0,0
183,Anaitz Arbilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.823,eibar,1,78.0,78.0,0
184,Rubén Peña,2.0,1.0,14.0,2.0,2.0,1.0,0.0,3.0,1.0,1.0,2.0,0.7929999999999999,eibar,1,90.0,0.0,0
185,Pape Diop,2.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,2.0,0.0,0.753,eibar,1,90.0,0.0,0
186,Joan Jordan,2.0,0.0,9.0,5.0,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.868,eibar,1,90.0,0.0,0
187,Fabián Orellana,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.8859999999999999,eibar,1,90.0,0.0,0
188,Sergi Enrich,5.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.7809999999999999,eibar,1,90.0,0.0,0
189,Kike García,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.769,eibar,1,45.0,45.0,0
190,Bebé ,3.0,2.0,10.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.857,eibar,1,0.0,0.0,0
191,Yoel Rodríguez,,,,,,,,,,,,,eibar,1,0.0,0.0,0
192,Pedro Bigas,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6920000000000001,eibar,1,12.0,78.0,0
193,Gonzalo Escalante,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.8079999999999999,eibar,1,35.0,55.0,0
194,Sergio Álvarez,,,,,,,,,,,,,eibar,1,0.0,0.0,0
195,Pablo Hervías,,,,,,,,,,,,,eibar,1,0.0,0.0,0
196,Charles Dias,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.75,eibar,1,45.0,45.0,0
197,Pere Milla,,,,,,,,,,,,,eibar,1,0.0,0.0,0
198,Axel Werner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.325,huesca,1,90.0,0.0,1
199,Jorge Pulido,0.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.6,huesca,1,90.0,0.0,1
200,Jorge Miramón,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,1.0,0.0,0.794,huesca,1,90.0,0.0,1
201,Xabier Etxeita,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7140000000000001,huesca,1,90.0,0.0,1
202,Luisinho,1.0,1.0,1.0,0.0,0.0,1.0,1.0,6.0,4.0,0.0,2.0,0.667,huesca,1,90.0,0.0,1
203,Gonzalo Melero,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.828,huesca,1,90.0,0.0,1
204,Damián Musto,1.0,1.0,0.0,0.0,0.0,4.0,4.0,2.0,3.0,0.0,0.0,0.8640000000000001,huesca,1,89.0,89.0,1
